"seqnames","start","end","width","strand","logFC","logCPM","F","PValue","FDR","status"
"chr1",4650539,4650741,203,"*",-0.583607508499923,-2.39707043937215,2.78689241118147,0.102399917170963,0.615193663796233,"Stable"
"chr1",8701605,8701836,232,"*",0.195776722814449,-2.23908677896116,0.442656395031147,0.509532414096967,0.890009837592388,"Stable"
"chr1",8873582,8873863,282,"*",-0.124739835902916,-1.95024213959654,0.214532874155932,0.645667696480602,0.937409557970731,"Stable"
"chr1",11908111,11908535,425,"*",-0.0401010710033605,-1.63951716797044,0.0241455675766112,0.877273836904435,0.970234082078169,"Stable"
"chr1",12478157,12478462,306,"*",-0.172801514089058,-1.60550935633747,0.419079741910711,0.520985926545074,0.893919374589997,"Stable"
"chr1",12480823,12481036,214,"*",0.0518336644421227,-1.88341998974241,0.0475671557659579,0.828427763549509,0.962099894917322,"Stable"
"chr1",24003540,24003786,247,"*",-0.236387777186712,-1.81504509505433,0.898289831236791,0.348755040439298,0.825457960898437,"Stable"
"chr1",24683592,24683892,301,"*",-0.439867437424276,-1.63903572887841,3.32729275639522,0.0753820820854971,0.547475398003426,"Stable"
"chr1",28438078,28438293,216,"*",0.384740915510709,-2.29123152090768,1.61821101939281,0.210442525181781,0.757397800340565,"Stable"
"chr1",39183899,39184173,275,"*",-0.682961437378194,-1.87626044921293,5.57978800268163,0.0229280687794318,0.392224626076827,"Stable"
"chr1",39192265,39192470,206,"*",-0.446729396505471,-2.14988430510646,2.43800885935823,0.125979804175409,0.662815999624235,"Stable"
"chr1",40711449,40711748,300,"*",0.409792749204607,-1.74030825352876,2.61966049553698,0.113183166844314,0.641642701246904,"Stable"
"chr1",41372282,41372489,208,"*",-0.817493275023361,-1.24539462745971,8.44075429993193,0.00587278435166515,0.289234629319509,"Stable"
"chr1",41955525,41956217,693,"*",0.112742313478137,-0.741779406467169,0.327426194934279,0.570279649615494,0.911144526066883,"Stable"
"chr1",42484434,42484688,255,"*",-0.171036264674123,-1.95942404991534,0.3762108608619,0.542998245260848,0.901754725533294,"Stable"
"chr1",42967165,42967496,332,"*",0.157375894182269,-1.20210715772038,0.521030209200028,0.474475867018973,0.871531733271898,"Stable"
"chr1",43836560,43836918,359,"*",0.0759489418624836,-1.22993770279355,0.103852594895886,0.748882867232057,0.954185790384202,"Stable"
"chr1",44327883,44328144,262,"*",-0.120532140125029,-1.63462868337248,0.232855403072086,0.631967796448132,0.936947292569928,"Stable"
"chr1",45892445,45892787,343,"*",0.576627293824267,-1.72112006492267,4.71593761909283,0.0356985296594742,0.44260688426123,"Stable"
"chr1",50873380,50873890,511,"*",-0.121738630760255,-1.5708525290532,0.314329014155372,0.578071624187941,0.917458595049771,"Stable"
"chr1",55429198,55429435,238,"*",-0.104211157565538,-2.26616886295137,0.13079277458561,0.719441779716321,0.950529809707308,"Stable"
"chr1",56376808,56377043,236,"*",-1.07399435393796,-2.06106254849619,12.9770260753107,0.000821348210241129,0.206530035401035,"Stable"
"chr1",57411291,57411537,247,"*",-0.0203375211581511,-2.17838874478601,0.00434758962362726,0.947745611672048,0.984720786338662,"Stable"
"chr1",58041572,58041919,348,"*",0.0667611169461998,-1.73977041986873,0.0940298469289017,0.760659664909631,0.958193755991142,"Stable"
"chr1",58584573,58584801,229,"*",-0.761284823225439,-1.98805739677129,7.3078974437835,0.00988065279966993,0.338427516217119,"Stable"
"chr1",58755309,58755656,348,"*",-0.232872093493679,-1.4979783642643,0.985862525230366,0.326549216482111,0.812925081879928,"Stable"
"chr1",59360249,59360452,204,"*",0.158341653888012,-2.41702556590736,0.231632453590627,0.632834426310119,0.936947292569928,"Stable"
"chr1",61287916,61288120,205,"*",0.0915653506830016,-2.35523081452881,0.068588298820195,0.794695668935606,0.962099894917322,"Stable"
"chr1",61337825,61338419,595,"*",0.334391068727671,-1.18888872965392,2.04205578700461,0.160532716798435,0.696968489460974,"Stable"
"chr1",61434130,61434503,374,"*",0.2012312236022,-1.820044856416,0.753497358953408,0.390400164834051,0.830375242223657,"Stable"
"chr1",63714263,63714580,318,"*",0.0917159912313968,-1.67824144265752,0.10540903803178,0.747075799597632,0.953767354637831,"Stable"
"chr1",63864213,63864671,459,"*",-0.310354058166182,-1.52143123698117,2.03574143776467,0.161168609411077,0.697806946241368,"Stable"
"chr1",64039525,64039897,373,"*",-0.474734127404787,-1.75617058986737,3.37198794238174,0.0735094949643428,0.546911679110244,"Stable"
"chr1",64898134,64898380,247,"*",0.149791354259123,-2.12500570207006,0.281627162944321,0.598477073493999,0.932015679670497,"Stable"
"chr1",65425658,65425956,299,"*",-0.180758481578177,-1.80857548993857,0.416509952304469,0.522255477229475,0.893919374589997,"Stable"
"chr1",67339785,67340005,221,"*",-0.0725170209604362,-2.23917086122414,0.0630853154446461,0.802922224796436,0.962099894917322,"Stable"
"chr1",68384344,68384780,437,"*",0.219471601484388,-1.67910972400183,0.703658166896027,0.406400114803995,0.837314002943372,"Stable"
"chr1",78176534,78176776,243,"*",-0.547491807615666,-2.16309524164662,4.22326868322591,0.0461482560851369,0.494759534627046,"Stable"
"chr1",78620163,78620495,333,"*",-0.173533158395016,-1.94897785836031,0.495399541094016,0.485474094244337,0.880338288911732,"Stable"
"chr1",79079956,79080161,206,"*",-0.157706289643871,-2.50695796878307,0.218407112026698,0.642664989383307,0.936947292569928,"Stable"
"chr1",84253938,84254248,311,"*",-0.516099653979375,-1.93981900058779,2.93670324727555,0.0940434011384951,0.583513386591607,"Stable"
"chr1",94258906,94259142,237,"*",0.261431648508317,-2.28258499658627,0.649121922759839,0.425027611808261,0.847412518915189,"Stable"
"chr1",94300009,94300443,435,"*",0.00542137359612293,-1.51203473360296,0.000458791749198366,0.983014485896157,0.995010166841582,"Stable"
"chr1",94739638,94740110,473,"*",-0.140143255607076,-1.22258534071744,0.339128263481328,0.563504370996949,0.910069383892544,"Stable"
"chr1",96362564,96363005,442,"*",-0.154792970357919,-1.91020165206935,0.311793808379787,0.579595705995856,0.918032997637657,"Stable"
"chr1",97006093,97006514,422,"*",0.443342393663684,-2.03106283470694,3.17355067471811,0.0822102483631546,0.558775272700327,"Stable"
"chr1",97192960,97193222,263,"*",0.344928871399592,-2.20154478856852,1.40908374172963,0.24198884986425,0.767460098333088,"Stable"
"chr1",98048303,98048562,260,"*",-0.0890757843847028,-2.05067957832331,0.110125846000455,0.741676252560463,0.95292965068127,"Stable"
"chr1",108000644,108001076,433,"*",-0.755456122808412,-1.92379017865387,7.78989463972226,0.00789038962854929,0.310881351364842,"Stable"
"chr1",108016574,108016964,391,"*",-0.0962004316267676,-1.91377198764454,0.150564982642406,0.699989309910284,0.949027210774046,"Stable"
"chr1",109370787,109371165,379,"*",0.312429980195477,-1.41337228066652,2.3689293474643,0.131416434610851,0.67244253554124,"Stable"
"chr1",113396605,113396902,298,"*",0.39895014084033,-1.84670558452148,2.2099975572642,0.144736505697769,0.673392306356614,"Stable"
"chr1",115067499,115067795,297,"*",0.0972589370599777,-1.30283706314897,0.172897375320545,0.679706541465298,0.942325325138629,"Stable"
"chr1",115546139,115546373,235,"*",-0.194921686719743,-1.64719569945607,0.555534723614916,0.460293270856068,0.86052454907374,"Stable"
"chr1",116538713,116538989,277,"*",-0.869612545353452,-1.80155644229004,10.3643779091829,0.00249051155062019,0.218892070271106,"Stable"
"chr1",116820407,116820664,258,"*",0.129133634351989,-1.76623295950899,0.263747364919329,0.610300970885306,0.93327662848279,"Stable"
"chr1",118325640,118325950,311,"*",-0.49798809042156,-1.71507752457427,4.1743907444248,0.0474482739878323,0.503110352806063,"Stable"
"chr1",118335178,118335742,565,"*",-0.387082059117185,-1.10083448347393,3.2784546538506,0.0774850171799244,0.552257123452818,"Stable"
"chr1",118785303,118785540,238,"*",-0.0902203847152743,-1.95109342798967,0.122473336320838,0.72814542323112,0.95292965068127,"Stable"
"chr1",119080520,119081483,964,"*",-0.751312940072199,-0.512844557534253,13.0887112800749,0.000802430020275592,0.206530035401035,"Stable"
"chr1",119097520,119097746,227,"*",-0.80307265698553,-2.12441763666019,7.25856610754503,0.0100926987704344,0.338427516217119,"Stable"
"chr1",119279400,119279632,233,"*",-0.733227024847842,-1.99726937837606,6.33786196163347,0.0157399598180043,0.354552623822967,"Stable"
"chr1",119285419,119285731,313,"*",-0.166827789058419,-1.90480339473984,0.447437223378882,0.507275798016517,0.887310385875727,"Stable"
"chr1",119298821,119299247,427,"*",-0.565941315913606,-1.48635100253414,5.43845842012011,0.0246549313186074,0.396491548552298,"Stable"
"chr1",119452933,119453301,369,"*",-0.643849912554265,-1.32857294761043,6.54584605418592,0.0142779206959743,0.342896957626964,"Stable"
"chr1",119554098,119554461,364,"*",-0.983686921544686,-1.44157501997973,10.1691612879944,0.002718986880026,0.218892070271106,"Stable"
"chr1",119987098,119987447,350,"*",-0.317015120413293,-1.57468696855622,1.57384047471642,0.216714156121764,0.757397800340565,"Stable"
"chr1",146051653,146052200,548,"*",-0.039217116183276,-1.12185730977885,0.0391422671539487,0.844138979813143,0.963333115268294,"Stable"
"chr1",146376887,146377248,362,"*",0.188695113230676,-1.83859516038379,0.406690506502901,0.527182522356587,0.893919374589997,"Stable"
"chr1",149886479,149887129,651,"*",0.197951910954308,-0.973908052673867,0.700860844875241,0.407315526263689,0.837314002943372,"Stable"
"chr1",159161512,159161824,313,"*",-0.220054418501501,-1.78663323047067,0.794774770335949,0.377828254520416,0.830375242223657,"Stable"
